epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1272.11,1.05604,1.36522,1.18636,0.91048,0.72193,0.72513,0.52015,1.34725,2.20835,1.56016,0.00104231,0.00104231,0.00104231
43,1301.67,1.00055,1.27233,1.21464,0.95271,0.72222,0.72848,0.53373,1.29817,1.98075,1.50141,0.00103288,0.00103288,0.00103288
44,1330.81,0.95779,1.18947,1.18619,0.94496,0.72222,0.73449,0.5618,1.27922,1.89225,1.45125,0.00102345,0.00102345,0.00102345
45,1359.85,1.05289,1.36728,1.23434,0.94496,0.72222,0.73449,0.5618,1.27922,1.89225,1.45125,0.00101402,0.00101402,0.00101402
46,1389.43,1.06918,1.22075,1.20277,0.93006,0.71813,0.73421,0.52996,1.30244,1.93193,1.45891,0.00100459,0.00100459,0.00100459
47,1418.97,1.04377,1.33778,1.16112,0.96382,0.66667,0.7121,0.5293,1.27323,1.95677,1.46546,0.000995156,0.000995156,0.000995156
48,1448.09,1.01545,1.23935,1.214,0.96382,0.66667,0.7121,0.5293,1.27323,1.95677,1.46546,0.000985724,0.000985724,0.000985724
49,1477.45,0.94532,1.12805,1.16548,0.9419,0.66667,0.69341,0.49998,1.31412,2.00255,1.4993,0.000976293,0.000976293,0.000976293
50,1506.33,1.06766,1.1784,1.16492,0.9419,0.66667,0.69341,0.49998,1.31412,2.00255,1.4993,0.000966861,0.000966861,0.000966861
51,1536.21,1.09928,1.23001,1.1699,0.81397,0.72222,0.71775,0.50611,1.33184,2.01326,1.51487,0.00095743,0.00095743,0.00095743
52,1568.22,1.0455,1.20962,1.16387,0.96822,0.72222,0.73899,0.51418,1.31527,1.93076,1.45646,0.000947999,0.000947999,0.000947999
53,1597.44,0.95956,1.16469,1.11963,0.96822,0.72222,0.73899,0.51418,1.31527,1.93076,1.45646,0.000938567,0.000938567,0.000938567
54,1626.4,1.01276,1.19609,1.16406,0.88855,0.71325,0.73771,0.49969,1.3538,2.02759,1.47404,0.000929136,0.000929136,0.000929136
55,1655.46,1.02601,1.16168,1.17513,0.85125,0.72222,0.73392,0.49514,1.38105,2.01194,1.52013,0.000919704,0.000919704,0.000919704
56,1684.43,0.97671,1.18961,1.13397,0.85125,0.72222,0.73392,0.49514,1.38105,2.01194,1.52013,0.000910273,0.000910273,0.000910273
57,1714.22,0.97802,1.0789,1.12903,0.89041,0.68202,0.73295,0.48444,1.52795,2.05009,1.6364,0.000900842,0.000900842,0.000900842
58,1743.34,0.95267,1.14335,1.14811,0.89041,0.68202,0.73295,0.48444,1.52795,2.05009,1.6364,0.00089141,0.00089141,0.00089141
59,1772.62,1.06102,1.21669,1.18902,0.92595,0.68474,0.7288,0.48473,1.53516,2.08244,1.63627,0.000881979,0.000881979,0.000881979
60,1801.73,0.92855,1.09521,1.14669,0.93231,0.6885,0.7316,0.51419,1.47112,1.89282,1.58793,0.000872547,0.000872547,0.000872547
61,1830.64,0.93124,1.09322,1.19013,0.93231,0.6885,0.7316,0.51419,1.47112,1.89282,1.58793,0.000863116,0.000863116,0.000863116
62,1859.99,0.9332,1.07761,1.13197,0.96254,0.72072,0.73495,0.51229,1.43985,1.79821,1.55811,0.000853685,0.000853685,0.000853685
63,1891.3,0.94227,1.0564,1.13223,0.97399,0.72222,0.73001,0.49912,1.32984,1.78959,1.4947,0.000844253,0.000844253,0.000844253
64,1977.51,0.96511,1.16906,1.18462,0.97399,0.72222,0.73001,0.49912,1.32984,1.78959,1.4947,0.000834822,0.000834822,0.000834822
65,2011.09,0.94272,1.08341,1.1418,0.97369,0.72222,0.72934,0.49869,1.37506,1.77289,1.51081,0.00082539,0.00082539,0.00082539
66,2040.9,1.01414,1.2282,1.24934,0.97369,0.72222,0.72934,0.49869,1.37506,1.77289,1.51081,0.000815959,0.000815959,0.000815959
67,2070.37,0.99097,1.18726,1.16257,0.9696,0.72222,0.73721,0.50119,1.40581,1.74939,1.50743,0.000806528,0.000806528,0.000806528
68,2099.57,0.96932,1.11645,1.15739,0.96575,0.72222,0.72988,0.51972,1.36767,1.76238,1.48324,0.000797096,0.000797096,0.000797096
69,2128.6,0.95327,1.03342,1.17104,0.96575,0.72222,0.72988,0.51972,1.36767,1.76238,1.48324,0.000787665,0.000787665,0.000787665
70,2158.37,0.85711,1.06564,1.12483,0.97306,0.72222,0.74056,0.53784,1.30415,1.72153,1.46139,0.000778233,0.000778233,0.000778233
71,2187.83,0.91216,0.97933,1.11435,0.97995,0.72222,0.76295,0.53392,1.19742,1.71024,1.43369,0.000768802,0.000768802,0.000768802
72,2217.37,0.94494,1.0724,1.16153,0.97995,0.72222,0.76295,0.53392,1.19742,1.71024,1.43369,0.000759371,0.000759371,0.000759371
73,2246.29,0.88478,1.01889,1.08594,0.96489,0.72222,0.7633,0.54402,1.21984,1.72132,1.43569,0.000749939,0.000749939,0.000749939
74,2275.62,0.84577,0.96527,1.10751,0.96489,0.72222,0.7633,0.54402,1.21984,1.72132,1.43569,0.000740508,0.000740508,0.000740508
75,2305.73,0.94196,1.09216,1.18318,0.95961,0.72222,0.76381,0.53227,1.30557,1.68668,1.49084,0.000731076,0.000731076,0.000731076
76,2335.03,0.96492,0.93855,1.11379,0.95661,0.72222,0.7723,0.52079,1.35239,1.68246,1.44463,0.000721645,0.000721645,0.000721645
77,2364.35,0.97256,1.16387,1.23631,0.95661,0.72222,0.7723,0.52079,1.35239,1.68246,1.44463,0.000712214,0.000712214,0.000712214
78,2393.73,0.86171,1.03838,1.09813,0.94636,0.72222,0.77777,0.54592,1.35403,1.74366,1.4534,0.000702782,0.000702782,0.000702782
79,2422.76,0.75293,0.95664,1.05492,0.94395,0.72222,0.79833,0.56231,1.28689,1.69735,1.39466,0.000693351,0.000693351,0.000693351
80,2476.38,0.76439,0.95318,1.06849,0.94395,0.72222,0.79833,0.56231,1.28689,1.69735,1.39466,0.000683919,0.000683919,0.000683919
81,2533.49,0.93242,0.97729,1.13417,0.95323,0.71874,0.80374,0.56381,1.30059,1.65622,1.42961,0.000674488,0.000674488,0.000674488
82,2585.04,0.82813,1.01842,1.1209,0.95323,0.71874,0.80374,0.56381,1.30059,1.65622,1.42961,0.000665057,0.000665057,0.000665057
83,2640.47,0.81877,0.94329,1.09696,0.91455,0.77778,0.8225,0.56763,1.23356,1.66489,1.40027,0.000655625,0.000655625,0.000655625
84,2695.87,0.76957,0.98141,1.08103,0.92706,0.77778,0.8254,0.57192,1.26195,1.62691,1.41419,0.000646194,0.000646194,0.000646194
85,2738.4,0.85424,0.97572,1.11443,0.92706,0.77778,0.8254,0.57192,1.26195,1.62691,1.41419,0.000636762,0.000636762,0.000636762
86,2771.7,0.84134,0.92039,1.05425,0.96479,0.72146,0.75425,0.53482,1.32514,1.65681,1.49478,0.000627331,0.000627331,0.000627331
87,2827.53,0.86387,0.91472,1.03911,0.96268,0.72175,0.75519,0.53851,1.33562,1.62477,1.50869,0.0006179,0.0006179,0.0006179
88,2879.47,0.8781,0.86842,1.06895,0.96268,0.72175,0.75519,0.53851,1.33562,1.62477,1.50869,0.000608468,0.000608468,0.000608468
89,2940.36,0.82609,0.88265,1.08259,0.94365,0.77778,0.8175,0.58012,1.31127,1.60328,1.4974,0.000599037,0.000599037,0.000599037
90,3003.11,0.82325,0.85323,1.08258,0.94365,0.77778,0.8175,0.58012,1.31127,1.60328,1.4974,0.000589605,0.000589605,0.000589605
91,3057.62,0.75255,0.87361,1.0438,0.84655,0.77209,0.8004,0.58174,1.20059,1.57473,1.42297,0.000580174,0.000580174,0.000580174
92,3086.62,0.7604,0.88693,1.02747,0.96379,0.72222,0.80044,0.58685,1.28448,1.54095,1.46297,0.000570743,0.000570743,0.000570743
93,3115.45,0.8304,0.95935,1.08323,0.96379,0.72222,0.80044,0.58685,1.28448,1.54095,1.46297,0.000561311,0.000561311,0.000561311
94,3144.43,0.84117,1.02194,1.13478,0.96455,0.72222,0.79939,0.57003,1.30049,1.54139,1.48107,0.00055188,0.00055188,0.00055188
95,3173.79,0.73961,0.8434,1.02399,0.97398,0.72222,0.7926,0.56956,1.31381,1.52349,1.50277,0.000542448,0.000542448,0.000542448
96,3202.35,0.83452,0.99111,1.09927,0.97398,0.72222,0.7926,0.56956,1.31381,1.52349,1.50277,0.000533017,0.000533017,0.000533017
97,3231.67,0.8068,0.89064,1.07401,0.97403,0.72222,0.79007,0.56064,1.35478,1.60624,1.53111,0.000523586,0.000523586,0.000523586
98,3260.9,0.8358,0.96631,1.0953,0.97403,0.72222,0.79007,0.56064,1.35478,1.60624,1.53111,0.000514154,0.000514154,0.000514154
